original_audio,genre,track_id,title,artist,genre_top,license,duration,subset,candidate_count,license_allowed,license_fallback,genre_match
Soul of the Demon - Zombie Raiders,Rock,37147,Soul of the Demon,Zombie Raiders,Rock,Attribution-No Derivative Works 3.0 United States,124,small,1,True,False,True
Space is my pace - Malaventura,Pop,113026,Space is my pace,Malaventura,Pop,Public Domain Mark 1.0,252,small,1,True,False,True
Spanish BEEEYYAAACHHH - Malaventura,Pop,113016,Spanish BEEEYYAAACHHH,Malaventura,Pop,Public Domain Mark 1.0,113,small,1,True,False,True
Stockholm Syndrome / People Should Be More Aware - Bird Names,Pop,6795,Stockholm Syndrome / People Should Be More Aware,Bird Names,Pop,Attribution,319,large,1,True,False,True
Stranger - Frigg A Go Go (F.A.G.G.),Rock,5287,Stranger,Frigg A Go Go (F.A.G.G.),Rock,Attribution,292,large,1,True,False,True
Straw Fields - Rolemusic,Electronic,45101,Straw Fields,Rolemusic,Electronic,Attribution,238,small,1,True,False,True
Strongbreeze - Rowan Box,Electronic,148804,Strongbreeze,Rowan Box,Electronic,Attribution,3682,large,2,True,False,True
Sturgeon's Law - Nihilore,Electronic,145818,Sturgeon's Law,Nihilore,Electronic,Creative Commons Attribution,292,medium,1,True,False,True
Stuttgart - Portrayal,Rock,147951,Stuttgart,Portrayal,Rock,Attribution,215,medium,1,True,False,True
Support Me in This Moment That I'm About To Lose Heart - Nihilore,Electronic,132439,Support Me in This Moment That I'm About To Lose Heart,Nihilore,Electronic,Attribution,463,medium,1,True,False,True
TTL - Twin Heads,Electronic,143129,TTL,Twin Heads,Electronic,Attribution-NoDerivatives 4.0 International,211,medium,1,False,True,True
Take It All - Mod Fun,Rock,3963,Take It All,Mod Fun,Rock,Attribution,207,large,1,True,False,True
Take Your Fingers - Michael Fakesch,Electronic,33594,Take Your Fingers,Michael Fakesch,Electronic,Attribution-NoDerivatives 3.0 International,206,large,2,False,True,True
Tapes - Gumbel,Electronic,116878,Tapes,Gumbel,Electronic,Attribution,123,small,1,True,False,True
Tartu Tähän Hetkeen - Paavoharju,Electronic,31566,Tartu Tähän Hetkeen,Paavoharju,Electronic,Attribution-NoDerivatives 3.0 International,262,medium,1,False,True,True
Terve Teille - Чокнутый Пропеллер,Rock,102190,Terve Teille,Чокнутый Пропеллер,Rock,Attribution,208,medium,1,True,False,True
The Adventures Of Roderick Random - Maps And Diagrams,Electronic,33625,The Adventures Of Roderick Random,Maps And Diagrams,Electronic,Attribution-NoDerivatives 3.0 International,278,large,1,False,True,True
The Big House - Jason Shaw,Electronic,52649,The Big House,Jason Shaw,Electronic,Attribution 3.0 United States,188,small,1,True,False,True
The Boss - Multifaros,Electronic,15770,The Boss,Multifaros,Electronic,Attribution 3.0 United States,296,small,1,True,False,True
The Cave of Time - Monroeville Music Center,Pop,91157,The Cave of Time,Monroeville Music Center,Pop,Creative Commons Attribution,163,small,1,True,False,True
The Coldest Winter - Caleb Lemond,Pop,135338,The Coldest Winter,Caleb Lemond,Pop,Attribution,134,small,1,True,False,True
The Contract - The IMG,Rock,129262,The Contract,The IMG,Rock,Attribution,139,medium,1,True,False,True
The Courtyard - Uncle Bibby,Electronic,71821,The Courtyard,Uncle Bibby,Electronic,Creative Commons Attribution,180,medium,1,True,False,True
The Dawn - The One They Fear,Rock,145607,The Dawn,The One They Fear,Rock,Attribution,235,small,1,True,False,True
The Dream and the Dreamer - Caleb Lemond,Pop,135337,The Dream and the Dreamer,Caleb Lemond,Pop,Attribution,198,small,1,True,False,True
The Factory - Multifaros,Electronic,15769,The Factory,Multifaros,Electronic,Attribution 3.0 United States,282,small,1,True,False,True
The Front Yard - HarleyLikesMusic,Electronic,71801,The Front Yard,HarleyLikesMusic,Electronic,Creative Commons Attribution,144,medium,1,True,False,True
The Monster Mash/Ya Look Fantastic - The Crypts!,Rock,131178,The Monster Mash/Ya Look Fantastic,The Crypts!,Rock,Attribution,166,medium,1,True,False,True
"The Pursuit of Unintentional Humor - Oh Yeah, the Future",Pop,127297,The Pursuit of Unintentional Humor,"Oh Yeah, the Future",Pop,Attribution,197,small,1,True,False,True
The Queen - Malaventura,Pop,113027,The Queen,Malaventura,Pop,Public Domain Mark 1.0,122,small,1,True,False,True
The Race Forever - Monroeville Music Center,Pop,91159,The Race Forever,Monroeville Music Center,Pop,Creative Commons Attribution,108,small,1,True,False,True
The Reality Machine - Monroeville Music Center,Pop,91161,The Reality Machine,Monroeville Music Center,Pop,Creative Commons Attribution,248,small,1,True,False,True
The Sandman - Ergo Phizmiz,Pop,22481,The Sandman,Ergo Phizmiz,Pop,Attribution 3.0 United States,239,small,1,True,False,True
The Secret Garden - Barbarix,Electronic,141617,The Secret Garden,Barbarix,Electronic,Attribution,349,small,1,True,False,True
The Stairway - WarpToken,Electronic,71807,The Stairway,WarpToken,Electronic,Creative Commons Attribution,247,medium,1,True,False,True
The girl just faded - Los Llamarada,Rock,28752,The girl just faded,Los Llamarada,Rock,Attribution-NoDerivatives 3.0 International,231,large,1,False,True,True
The plot - Malaventura,Pop,113023,The plot,Malaventura,Pop,Public Domain Mark 1.0,238,small,1,True,False,True
Three Bird - My brother Daniel,Electronic,117282,Three Bird,My brother Daniel,Electronic,Attribution-NoDerivatives 4.0 International,332,medium,1,False,True,True
Time Is Love - Silence is full of birds,Pop,97023,Time Is Love,Silence is full of birds,Pop,Attribution,386,large,1,True,False,True
Time Up - ENDRUDARK,Electronic,89816,Time Up,ENDRUDARK,Electronic,Creative Commons Attribution,339,small,1,True,False,True
Timen Passing By - Jason Shaw,Electronic,52650,Timen Passing By,Jason Shaw,Electronic,Attribution 3.0 United States,248,small,1,True,False,True
Topam - Twin Heads,Electronic,143126,Topam,Twin Heads,Electronic,Attribution-NoDerivatives 4.0 International,268,medium,1,False,True,True
Track 04 - Lightning Bolt,Rock,3836,Track 04,Lightning Bolt,Rock,Attribution,301,medium,1,True,False,True
Transmit - Lamprey,Rock,147709,Transmit,Lamprey,Rock,Attribution,255,large,1,True,False,True
Troubles I've seen - Malaventura,Pop,113018,Troubles I've seen,Malaventura,Pop,Public Domain Mark 1.0,192,small,1,True,False,True
Ugh! Humans Can Join - Mystery Mammal,Electronic,143059,Ugh! Humans Can Join,Mystery Mammal,Electronic,Attribution,191,small,1,True,False,True
Ugly - Vienna Ditto,Electronic,107613,Ugly,Vienna Ditto,Electronic,Attribution,282,small,1,True,False,True
Understand That This Is A Dream - From the album Modulating Coil [RSVP008] - Forrest James,Electronic,60833,Understand That This Is A Dream - From the album Modulating Coil [RSVP008],Forrest James,Electronic,Attribution-NoDerivatives 3.0 International,393,medium,1,False,True,True
Unexpected Little Happenings - UltraCat,Electronic,39607,Unexpected Little Happenings,UltraCat,Electronic,Creative Commons Attribution,246,small,1,True,False,True
Untitled - Fatal Injection,Rock,140149,Untitled,Fatal Injection,Rock,Attribution,192,large,5,True,False,True
Vanishing Horizon - Jason Shaw,Electronic,52628,Vanishing Horizon,Jason Shaw,Electronic,Attribution 3.0 United States,163,small,1,True,False,True
Variations - Decktonic,Electronic,72070,Variations,Decktonic,Electronic,Attribution,204,small,1,True,False,True
Versailles - Pierce Murphy,Rock,121769,Versailles,Pierce Murphy,Rock,Attribution,252,medium,1,True,False,True
Voxel - Andy G. Cohen,Rock,126296,Voxel,Andy G. Cohen,Rock,Attribution,138,medium,1,True,False,True
WET DREAMS - voyageurs,Rock,42770,WET DREAMS,voyageurs,Rock,Attribution 3.0 International,261,medium,2,True,False,True
Wake Up - The Moi Non Plus,Rock,4389,Wake Up,The Moi Non Plus,Rock,Attribution,375,large,1,True,False,True
We Are Canucks - David Blair,Pop,86634,We Are Canucks,David Blair,Pop,Creative Commons Attribution,146,small,1,True,False,True
We Misplaced A Cobra In the Uninhabitable Mansions - Uninhabitable Mansions,Rock,5149,We Misplaced A Cobra In the Uninhabitable Mansions,Uninhabitable Mansions,Rock,Attribution,266,medium,1,True,False,True
We Move in Waves - Modey Lemon,Rock,3984,We Move in Waves,Modey Lemon,Rock,Attribution,255,large,1,True,False,True
Westside Chillers - Little Glass Men,Electronic,118921,Westside Chillers,Little Glass Men,Electronic,Attribution,213,small,1,True,False,True
When I Was Taller - Dan Deacon,Electronic,4701,When I Was Taller,Dan Deacon,Electronic,Attribution-NoDerivatives 3.0 International,136,medium,1,False,True,True
When Will We Ever Learn - Ontayso,Electronic,33595,When Will We Ever Learn,Ontayso,Electronic,Attribution-NoDerivatives 3.0 International,316,large,1,False,True,True
Where Is Everything - The Moi Non Plus,Rock,4384,Where Is Everything,The Moi Non Plus,Rock,Attribution,206,large,1,True,False,True
Who Loves You Dear - Mink Lungs,Rock,3936,Who Loves You Dear,Mink Lungs,Rock,Attribution,130,medium,1,True,False,True
Windows of the Skull (Alternate Version) - Sarin,Rock,113529,Windows of the Skull (Alternate Version),Sarin,Rock,Attribution-NoDerivatives 4.0 International,120,medium,1,False,True,True
Windows of the Skull - Sarin,Rock,113524,Windows of the Skull,Sarin,Rock,Attribution-NoDerivatives 4.0 International,116,medium,1,False,True,True
Wir Werden Gott - Japanische Kampfhorspiele,Rock,6777,Wir Werden Gott,Japanische Kampfhorspiele,Rock,Attribution,139,medium,1,True,False,True
"With the Summer - Oh Yeah, the Future",Pop,127299,With the Summer,"Oh Yeah, the Future",Pop,Attribution,151,small,1,True,False,True
Ynkelig - Die Morgendammerung Des Valhalla,Rock,149711,Ynkelig,Die Morgendammerung Des Valhalla,Rock,Attribution,407,medium,1,True,False,True
Yoko live at FoEG - Emma Acs,Pop,63082,Yoko live at FoEG,Emma Acs,Pop,Attribution,151,large,1,True,False,True
You Are A Monster - Monroeville Music Center,Pop,91163,You Are A Monster,Monroeville Music Center,Pop,Creative Commons Attribution,127,small,1,True,False,True
Yurtology - Michett,Electronic,130137,Yurtology,Michett,Electronic,Attribution,281,small,1,True,False,True
Z-Saber (feat Jake Allison) - Decktonic,Electronic,72073,Z-Saber (feat Jake Allison),Decktonic,Electronic,Attribution,131,small,1,True,False,True
danse macabre - Katapulto,Pop,21999,danse macabre,Katapulto,Pop,Public Domain,208,small,1,True,False,True
gospellioza - Katapulto,Pop,21996,gospellioza,Katapulto,Pop,Public Domain,154,small,1,True,False,True
karaoke megablast - Katapulto,Pop,21998,karaoke megablast,Katapulto,Pop,Public Domain,137,small,1,True,False,True
kolorowe wody - Katapulto,Pop,22000,kolorowe wody,Katapulto,Pop,Public Domain,216,small,1,True,False,True
mc trabalenguas - Volumina,Pop,26231,mc trabalenguas,Volumina,Pop,Attribution,161,large,1,True,False,True
mystery team 2090 - Jesse Futerman,Electronic,40485,mystery team 2090,Jesse Futerman,Electronic,Attribution,130,large,1,True,False,True
philcollins takes your hand - Katapulto,Pop,22001,philcollins takes your hand,Katapulto,Pop,Public Domain,264,small,1,True,False,True
purity & danger - Katapulto,Pop,21997,purity & danger,Katapulto,Pop,Public Domain,260,small,1,True,False,True
shmoove - epsilon not,Electronic,114545,shmoove,epsilon not,Electronic,Attribution,222,small,1,True,False,True
some dextromethorphan - Jeva,Electronic,12121,some dextromethorphan,Jeva,Electronic,Attribution,383,large,1,True,False,True
zero rhythm dollar boy - Katapulto,Pop,21995,zero rhythm dollar boy,Katapulto,Pop,Public Domain,289,small,1,True,False,True
В Наших Сердцах - Чокнутый Пропеллер,Rock,102183,В Наших Сердцах,Чокнутый Пропеллер,Rock,Attribution,207,large,1,True,False,True
Глазами Детей - Чокнутый Пропеллер,Rock,98077,Глазами Детей,Чокнутый Пропеллер,Rock,Attribution,236,small,2,True,False,True
Кортни Лав - Чокнутый Пропеллер,Rock,102188,Кортни Лав,Чокнутый Пропеллер,Rock,Attribution,269,medium,1,True,False,True
Новый Нью-Йорк 2 - Чокнутый Пропеллер,Rock,102179,Новый Нью-Йорк 2,Чокнутый Пропеллер,Rock,Attribution,179,medium,1,True,False,True
